Title,Author,genres
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,Adventure; Audiobook; Classics; Comedy; Fantasy; Fiction; Humor; Novels; Science Fiction; Science Fiction Fantasy
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Adventure; British Literature; Classics; Comedy; European Literature; Fantasy; Fiction; Humor; Novels; Science Fiction; Science Fiction Fantasy
A Short History of Nearly Everything,Bill Bryson,Audiobook; Historical; History; Humor; Nonfiction; Philosophy; Physics; Popular Science; Science; Unfinished
Bill Bryson's African Diary,Bill Bryson,Adventure; Africa; Autobiography; Biography; Cultural; Eastern Africa; History; Humor; Kenya; Memoir; Nonfiction; Travel; Travelogue
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,Books About Books; Dictionaries; History; Humanities; Humor; Language; Linguistics; Nonfiction; Reference; Words; Writing
In a Sunburned Country,Bill Bryson,Adventure; Audiobook; Australia; Autobiography; Biography; Cultural; History; Humor; Memoir; Nonfiction; Travel; Travelogue
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,American; Audiobook; Autobiography; Biography; Comedy; Essays; Humor; Literature; Memoir; Nonfiction; The United States Of America; Travel; Writing
The Lost Continent: Travels in Small Town America,Bill Bryson,American; Audiobook; Autobiography; Biography; Comedy; Humor; Literature; Memoir; Nonfiction; The United States Of America; Travel; Travelogue
Neither Here nor There: Travels in Europe,Bill Bryson,Adventure; Audiobook; Autobiography; Biography; Comedy; Essays; Humor; Memoir; Nonfiction; Travel; Travelogue; Writing
Notes from a Small Island,Bill Bryson,Audiobook; Autobiography; Biography; British Literature; Comedy; European Literature; History; Humor; Memoir; Nonfiction; Travel; Travelogue
The Mother Tongue: English and How It Got That Way,Bill Bryson,Audiobook; History; Humanities; Humor; Language; Linguistics; Nonfiction; Reference; Science; Travel; Writing
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Adventure; Classics; Epic Fantasy; Fantasy; Fiction; High Fantasy; Literature; Magic; Science Fiction Fantasy; Young Adult
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,Adventure; Classics; Epic Fantasy; Fantasy; Fiction; High Fantasy; Literature; Novels; Science Fiction Fantasy; Young Adult
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,Adventure; Audiobook; Classics; Epic Fantasy; Fantasy; Fiction; High Fantasy; Novels; Science Fiction Fantasy; Young Adult
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,Adventure; Classics; Epic Fantasy; Fantasy; Fiction; High Fantasy; Literature; Novels; Science Fiction Fantasy; Young Adult
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,Adult; Adventure; Art; Classics; Culture; Fantasy; Fiction; Film; High Fantasy; Media Tie In; Reference
The Lord of the Rings: Complete Visual Companion,Jude Fisher,Culture; Fantasy; Film; Media Tie In; Reference
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,Coding; Computer Science; Computers; Internet; Nonfiction; Programming; Reference; Science; Software; Technical; Technology; Web
Hatchet (Brian's Saga  #1),Gary Paulsen,Academic; Adventure; Childrens; Classics; Fiction; Middle Grade; Read For School; Realistic Fiction; School; Survival; Young Adult
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,Education
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,Academic; Adventure; Autobiography; Biography; Biography Memoir; Childrens; Memoir; Middle Grade; Nonfiction; School; Survival
Molly Hatchet - 5 of the Best,Molly Hatchet,
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,Books About Books; Criticism; Essays; Language; Literary Criticism; Nonfiction; Writing
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,Adult Fiction; Anthologies; Erotic Romance; Erotica; Fantasy; Fiction; Paranormal; Paranormal Romance; Romance; Shapeshifters
Changeling (Changeling  #1),Delia Sherman,Adventure; Childrens; Fae; Fairies; Fantasy; Fiction; Magic; Middle Grade; Paranormal; Urban Fantasy; Young Adult
The Changeling Sea,Patricia A. McKillip,Fairy Tales; Fantasy; Fiction; High Fantasy; Magic; Mermaids; Mythology; Romance; Science Fiction Fantasy; Young Adult; Young Adult Fantasy
The Changeling,Zilpha Keatley Snyder,Childrens; Classics; Coming Of Age; Fantasy; Fiction; Juvenile; Magic; Middle Grade; Novels; Young Adult
The Changeling,Kate Horsley,14th Century; Cultural; European Literature; Fantasy; Fiction; Historical; Historical Fiction; Ireland; Irish Literature; LGBT; Literary Fiction; Literature; Medieval
The Changeling (Daughters of England  #15),Philippa Carr,19th Century; Adult; British Literature; European Literature; Fiction; Gothic; Historical; Historical Fiction; Historical Romance; Literature; Mystery; Romance
The Known World,Edward P. Jones,African American; American; Book Club; Cultural; Fiction; Historical; Historical Fiction; Literary Fiction; Literature; Novels; Race
The Known World,Edward P. Jones/Kevin R. Free,African American; American; Book Club; Cultural; Fiction; Historical; Historical Fiction; Literary Fiction; Literature; Novels; Race
The Known World,Edward P. Jones,African American; American; Book Club; Cultural; Fiction; Historical; Historical Fiction; Literary Fiction; Literature; Novels; Race
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,Business; Currency; Economics; Finance; History; Money; Nonfiction; Politics
Artesia: Adventures in the Known World,Mark Smylie,Fantasy; Games; Role Playing Games
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,Anthologies; Collections; Environment; Essays; History; Journalism; Language; Literature; Nature; Nonfiction; Science; Travel; Writing
Uncommon Carriers,John McPhee,Business; Economics; Essays; History; Journalism; Literature; Nonfiction; Science; Transport; Travel; Writing
Heirs of General Practice,John McPhee,Biography; Essays; Health; History; Medical; Medicine; Nonfiction; Science; Writing
The Control of Nature,John McPhee,Engineering; Environment; Essays; Geography; Geology; History; Natural History; Nature; Nonfiction; Science; Writing
Annals of the Former World,John McPhee,Environment; Essays; Geography; Geology; History; Natural History; Nature; Nonfiction; Science; Travel; Writing
Coming Into the Country,John McPhee,Adventure; Autobiography; Environment; Essays; History; Memoir; Natural History; Nature; Nonfiction; Science; Travel; Writing
La Place de la Concorde Suisse,John McPhee,Essays; History; Journalism; Military; Military Fiction; Military History; Nonfiction; Politics; Travel; War; Writing
Giving Good Weight,John McPhee,Essays; Food; Food and Drink; History; Journalism; Language; Nonfiction; Short Stories; Writing
Rising from the Plains,John McPhee,Biography; Environment; Geography; Geology; History; Natural History; Nature; Nonfiction; Science; Travel
The Heidi Chronicles,Wendy Wasserstein,Academic; American; Audiobook; Contemporary; Drama; Feminism; Fiction; Literature; Plays; Read For School; Theatre; Womens
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,20th Century; Adult; American; Classics; Drama; Feminism; Fiction; Humor; Literature; Plays; Theatre
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,Teaching
Simply Beautiful Beaded Jewelry,Heidi Boyd,Art; Beading; Crafts; Nonfiction
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,Autobiography; Biography; Christian; Christian Living; Christian Non Fiction; Christianity; Faith; Inspirational; Nonfiction; Religion; Spirituality
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,Education; Teaching
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,19th Century; Childrens; Childrens Classics; Classics; Fiction; Historical; Historical Fiction; Juvenile; Literature; Middle Grade; Young Adult
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,Education; Teaching
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,Autobiography; Biography; Christian; Christian Living; Christian Non Fiction; Christianity; Faith; Inspirational; Nonfiction; Religion; Spirituality
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,Adult; Childrens; Education; Family; Health; Nonfiction; Parenting; Reference; Self Help; Unfinished
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,Self Help
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,Art; Beading; Crafts; Jewellery; Jewellery Making; Nonfiction; Reference
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,Audiobook; Classics; Fantasy; Fiction; Novels; Philosophy; Science Fiction; Science Fiction Fantasy; Space; Space Opera
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,Adventure; Audiobook; Classics; Fantasy; Fiction; Novels; Science Fiction; Science Fiction Fantasy; Space; Space Opera
Dune Messiah (Dune Chronicles #2),Frank Herbert,Audiobook; Classics; Fantasy; Fiction; Novels; Science Fiction; Science Fiction Fantasy; Space; Space Opera; Speculative Fiction
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,Autobiography; Biography; Biography Memoir; Memoir; Nonfiction; Philosophy; Science Fiction Fantasy
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,Audiobook; Classics; Fantasy; Fiction; Novels; Science Fiction; Science Fiction Fantasy; Space; Space Opera; Speculative Fiction
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,Anthologies; Audiobook; Collections; Fantasy; Fiction; Science Fiction; Science Fiction Fantasy; Short Stories; Space; Space Opera
Heretics of Dune (Dune Chronicles #5),Frank Herbert,Audiobook; Classics; Fantasy; Fiction; Novels; Science Fiction; Science Fiction Fantasy; Space; Space Opera; Speculative Fiction
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,Adult; Adventure; Art; Classics; Culture; Fantasy; Fiction; Film; High Fantasy; Media Tie In; Science Fiction Fantasy
The Power of One (The Power of One  #1),Bryce Courtenay,Africa; Classics; Coming Of Age; Cultural; Fiction; Historical; Historical Fiction; Literature; Novels; South Africa; Southern Africa; Young Adult
The Power of One (The Power of One  #1),Bryce Courtenay,Africa; Classics; Coming Of Age; Cultural; Fiction; Historical; Historical Fiction; Literature; Novels; South Africa; Southern Africa; Young Adult
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,Business; Leadership; Self Help
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,Audiobook; Business; Leadership; Nonfiction; Productivity; Self Help
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,Performing Arts
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,Business
eBay for Dummies,Marsha Collier,Business; Computer Science; Computers; How To; Internet; Nonfiction; Reference; Science; Technology
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,Business; Economics
Starting an eBay Business for Dummies,Marsha Collier,Business; Nonfiction; Reference
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,Computers
ebay Timesaving Techniques for Dummies,Marsha Collier,Business; Horror
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,Reference
Ruby Cookbook,Lucas Carlson/Leonard Richardson,Coding; Computer Science; Computers; Nonfiction; Programming; Reference; Science; Software; Technical; Technology
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,Cookbooks; Food and Drink; Nonfiction
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,Humor
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,Computer Science; Computers; Programming; Reference
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,19th Century; Classics; Cultural; Fiction; Historical; Historical Fiction; Literature; Novels; Romance; Russia; Russian Literature
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,19th Century; Classics; Cultural; Fiction; Historical; Historical Fiction; Literature; Novels; Romance; Russia; Russian Literature
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,19th Century; Classics; Cultural; Fiction; Historical; Historical Fiction; Literature; Novels; Romance; Russia; Russian Literature
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,Literary Criticism
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,19th Century; Classics; Cultural; Fiction; Historical; Historical Fiction; Literature; Novels; Romance; Russia; Russian Literature
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,19th Century; Classics; Cultural; Fiction; Historical; Historical Fiction; Literature; Novels; Romance; Russia; Russian Literature
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,19th Century; Classics; Cultural; Fiction; Historical; Historical Fiction; Literature; Novels; Romance; Russia; Russian Literature
Dinner with Anna Karenina,Gloria Goldreich,Books About Books; Chick Lit; Contemporary; Fiction; Novels; The United States Of America; Womens; Womens Fiction; Writing
Tolstoy: Anna Karenina,Anthony Thorlby,Classics; Criticism; Cultural; Fiction; Literature; Novels; Russia; Russian Literature; Unfinished
Untouchable,Mulk Raj Anand/E.M. Forster,Academic; Asia; Asian Literature; Classics; Cultural; Fiction; Historical; Historical Fiction; India; Indian Literature; Literature; Novels; School
The Untouchable,John Banville,British Literature; Contemporary; Cultural; Espionage; European Literature; Fiction; Historical; Historical Fiction; Ireland; Irish Literature; Literary Fiction; Literature; Novels; Spy Thriller
The Untouchables,Eliot Ness/Oscar Fraley,American History; Autobiography; Biography; Biography Memoir; Crime; History; Media Tie In; Memoir; Mystery; Nonfiction; North American Hi...; True Crime
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,Anthropology; Autobiography; Biography; Biography Memoir; Cultural; Historical; History; India; Memoir; Nonfiction; Social Justice; Social Movements
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,Asia; Cultural
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,Autobiography; Biography; Biography Memoir; Cultural; History; India; Memoir; Nonfiction; Politics
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,Social Science
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,Education
Wrinkles in Time,George Smoot/Keay Davidson,Astronomy; Biography; History; History Of Science; Nonfiction; Physics; Popular Science; Science; Space
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,Adventure; Childrens; Classics; Fantasy; Fiction; Middle Grade; Science Fiction; Science Fiction Fantasy; Time Travel; Young Adult
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,Education
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,Adventure; Childrens; Classics; Fantasy; Fiction; Middle Grade; Science Fiction; Science Fiction Fantasy; Time Travel; Young Adult
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,17th Century; British Literature; European Literature; Fiction; Historical; Historical Fiction; Historical Romance; Literature; Romance; Stuart
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,Audiobook; British Literature; Crime; Detective; European Literature; Fiction; Historical; Historical Fiction; Historical Mystery; Mystery; Mystery Thriller; Thriller
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,Adventure; Autobiography; Biography; Biography Memoir; Memoir; Motorcycle; Motorcycling; Nonfiction; Sports; Transport; Travel; Travelogue
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,Epic; Epic Fantasy; Fantasy; Fiction; High Fantasy; Magic; Science Fiction; Science Fiction Fantasy; Speculative Fiction; Steampunk
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,American; Crime; Detective; Fiction; Hard Boiled; Literature; Mystery; Noir; Novels; The United States Of America; Thriller
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,Adult; American; Crime; Detective; Fiction; Hard Boiled; Literature; Mystery; Mystery Thriller; Noir; Thriller
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,American; Crime; Detective; Fiction; Hard Boiled; Literature; Mystery; Noir; Novels; The United States Of America; Thriller
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,20th Century; American; Art; Crime; Fiction; Literature; Mystery; Mystery Thriller; Noir; Novels; Thriller
I am Charlotte Simmons,Tom Wolfe,Academic; American; Audiobook; College; Coming Of Age; Contemporary; Fiction; Literary Fiction; Literature; Novels; Young Adult
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,Childrens; Picture Books; Poetry
The Puffin Book of Nonsense Verse,Quentin Blake,Anthologies; Childrens; Fiction; Humor; Poetry
Henry Miller on Writing,Henry Miller/Thomas H. Moore,20th Century; American; Biography; Classics; Essays; Language; Literature; Nonfiction; Philosophy; Reference; Writing
Quiet Days in Clichy,Henry Miller,20th Century; Adult Fiction; American; Classics; Cultural; Erotica; Fiction; France; Literature; Modern Classics; Novels; The United States Of America
Tropic of Cancer,Henry Miller/Jiří Níl,20th Century; Adult Fiction; American; Banned Books; Classics; Cultural; Erotica; Fiction; France; Literary Fiction; Literature; Novels
Tropic of Capricorn,Henry Miller,Adult Fiction; American; Banned Books; Classics; Erotica; Fiction; Literary Fiction; Literature; Novels; Sexuality; The United States Of America
Nexus (The Rosy Crucifixion  #3),Henry Miller,20th Century; Adult Fiction; American; Classics; Contemporary; Erotica; Fiction; Literary Fiction; Literature; Novels; The United States Of America
Sexus (The Rosy Crucifixion  #1),Henry Miller,20th Century; Adult Fiction; American; Classics; Erotica; Fiction; Literature; Novels; Roman; Sexuality; The United States Of America
The Air-Conditioned Nightmare,Henry Miller,20th Century; American; Americana; Classics; Essays; Fiction; Literature; Novels; The United States Of America; Travel; Writing
The Portrait of a Lady,Henry James/Patricia Crick,19th Century; American; Classic Literature; Classics; Fiction; Historical; Historical Fiction; Literature; Novels; Romance; Victorian
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,19th Century; American; Classic Literature; Classics; Fiction; Historical; Historical Fiction; Literature; Novels; Romance; Victorian
Writing,Marguerite Duras,Academic; Biography; Cultural; Essays; European Literature; France; French Literature; Language; Literature; Nonfiction; School; Short Stories; Womens; Writing
The War,Marguerite Duras/Barbara Bray,Autobiography; Biography; Biography Memoir; Cultural; European Literature; France; French Literature; History; Memoir; Nonfiction; War; World War II
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,20th Century; Classics; Cultural; European Literature; Fiction; France; French Literature; Literary Fiction; Literature; Novels; Roman; Womens
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,Nonfiction; Poetry; Romance
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,Biography; History
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,Classics; Fiction; Literature; Philosophy; Poetry; Romance; Spirituality
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,Christian; Christianity; Classics; Fiction; Literature; Philosophy; Poetry; Religion; Spirituality; Theology
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,Classics; Cultural; Fiction; Lebanon; Literature; Novels; Philosophy; Poetry; Romance; Short Stories; Spirituality
Sand and Foam,Kahlil Gibran/جبران خليل جبران,20th Century; Audiobook; Classics; Cultural; Fiction; Lebanon; Literature; Philosophy; Poetry; Religion; Spirituality
Treasure Island,Robert Louis Stevenson,Adventure; Childrens; Classics; Fantasy; Fiction; Historical; Historical Fiction; Literature; Novels; Pirates; Young Adult
Treasure Island,Robert Louis Stevenson/Scott McKowen,Adventure; Childrens; Classics; Fantasy; Fiction; Historical; Historical Fiction; Literature; Novels; Pirates; Young Adult
Treasure Island,Robert Louis Stevenson,Adventure; Childrens; Classics; Fantasy; Fiction; Historical; Historical Fiction; Literature; Novels; Pirates; Young Adult
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,Adventure; Childrens; Classics; Fantasy; Fiction; Historical; Historical Fiction; Literature; Novels; Pirates; Young Adult
Treasure Island,Robert Louis Stevenson/Milo Winter,Adventure; Childrens; Classics; Fantasy; Fiction; Historical; Historical Fiction; Literature; Novels; Pirates; Young Adult
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,Adventure; Chapter Books; Childrens; Classics; Fiction; Historical; Historical Fiction; Literature; Pirates; Young Adult
100 Years of Lynchings,Ralph Ginzburg,African American; American History; Crime; Cultural; History; Mystery; Nonfiction; North American Hi...; Politics; Race
Cien años de soledad,Gabriel García Márquez,Classics; Cultural; European Literature; Fantasy; Fiction; Historical; Historical Fiction; Latin American; Literary Fiction; Literature; Magical Realism; Novels; Spanish Literature
On Beyond Zebra!,Dr. Seuss,Academic; Animals; Childrens; Classics; Fantasy; Fiction; Humor; Juvenile; Picture Books; Poetry; School
The Wedding Clause,Debbie Raleigh,Clean Romance; Historical; Historical Fiction; Historical Romance; Regency; Romance
The Zebra Wall,Kevin Henkes,Childrens; Fiction; Middle Grade; Realistic Fiction; Young Adult
El perfume: Historia de un asesino,Patrick Süskind,Classics; Crime; European Literature; Fiction; German Literature; Historical; Historical Fiction; Horror; Mystery; Novels; Thriller
The Door Into Summer,Robert A. Heinlein,Adventure; Audiobook; Classics; Fantasy; Fiction; Novels; Science Fiction; Science Fiction Fantasy; Speculative Fiction; Time Travel
Stranger in a Strange Land,Robert A. Heinlein,Audiobook; Classics; Fantasy; Fiction; Novels; Philosophy; Religion; Science Fiction; Science Fiction Fantasy; Speculative Fiction
To Sail Beyond the Sunset,Robert A. Heinlein,Adventure; Audiobook; Classics; Fantasy; Fiction; Novels; Science Fiction; Science Fiction Fantasy; Speculative Fiction; Time Travel
Job: A Comedy of Justice,Robert A. Heinlein,Adventure; Comedy; Fantasy; Fiction; Humor; Novels; Religion; Science Fiction; Science Fiction Fantasy; Speculative Fiction
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,Adventure; Audiobook; Childrens; Classics; Fantasy; Fiction; Juvenile; Science Fiction; Science Fiction Fantasy; Speculative Fiction; Young Adult
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,Audiobook; British Literature; Comedy; European Literature; Fantasy; Fiction; Humor; Mystery; Novels; Science Fiction; Science Fiction Fantasy
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,Audiobook; Comedy; Essays; Fantasy; Fiction; Humor; Mystery; Science Fiction; Science Fiction Fantasy; Short Stories; Writing
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,Biography; Biography Memoir; History; Humor; Nonfiction; Own; Unfinished
Douglas Adams's Starship Titanic,Terry Jones,Adventure; Aliens; Comedy; Fantasy; Fiction; Humor; Novels; Science Fiction; Science Fiction Fantasy; Space
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,Audiobook; Comedy; Essays; Fantasy; Fiction; Humor; Mystery; Science Fiction; Science Fiction Fantasy; Short Stories; Writing
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,Academic; Childrens; Fantasy; Plays; Read For School
On Bullshit,Harry G. Frankfurt,Audiobook; Cultural; Essays; Humanities; Humor; Language; Nonfiction; Philosophy; Politics; Psychology; Sociology; Writing
Another Bullshit Night in Suck City,Nick Flynn,Academic; Autobiography; Biography; Biography Memoir; Family; Literature; Memoir; Mental Health; Mental Illness; Nonfiction; Poetry; School
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,American Civil War; American History; Biography; Civil War; Historical; History; Military History; Nonfiction; North American Hi...; Politics; Presidents; War
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,American History; Childrens; Civil War; Classics; Historical; History; Military History; Nonfiction; North American Hi...; Picture Books; Politics; Presidents; War
Underworld,Don DeLillo,20th Century; American; Americana; Classics; Contemporary; Fiction; Historical; Historical Fiction; Literary Fiction; Literature; Novels
Libra,Don DeLillo,20th Century; American; Contemporary; Fiction; Historical; Historical Fiction; Literary Fiction; Literature; Novels; Politics; The United States Of America
Americana,Don DeLillo,20th Century; American; Americana; Classics; Contemporary; Fiction; Literary Fiction; Literature; Novels; Unfinished
Running Dog,Don DeLillo,20th Century; American; Americana; Contemporary; Fiction; Literary Fiction; Literature; Novels; The United States Of America; Thriller
Cosmopolis,Don DeLillo,21st Century; American; Americana; Contemporary; Fiction; Literary Fiction; Literature; New York; Novels; The United States Of America
Great Jones Street,Don DeLillo,20th Century; American; Contemporary; Fiction; Literary Fiction; Literature; Music; New York; Novels; Unfinished
The Names,Don DeLillo,20th Century; American; Contemporary; Cultural; Fiction; Greece; Literary Fiction; Literature; Mystery; Novels; The United States Of America
Against the Day,Thomas Pynchon,American; Contemporary; Fiction; Historical; Historical Fiction; Literary Fiction; Literature; Novels; Science Fiction; Steampunk
V.,Thomas Pynchon,20th Century; American; Classics; Contemporary; Fiction; Literary Fiction; Literature; Modern; Novels; The United States Of America
The Crying of Lot 49,Thomas Pynchon,20th Century; American; Classics; Contemporary; Fiction; Literary Fiction; Literature; Mystery; Novels; The United States Of America
Gravity's Rainbow,Thomas Pynchon,American; Classics; Fiction; Historical; Historical Fiction; Literary Fiction; Literature; Novels; Science Fiction; Unfinished; War
